,timestamp,ADA/USDT_open,ADA/USDT_high,ADA/USDT_low,ADA/USDT_close,ADA/USDT_volume,ATOM/USDT_open,ATOM/USDT_high,ATOM/USDT_low,ATOM/USDT_close,ATOM/USDT_volume,DOT/USDT_open,DOT/USDT_high,DOT/USDT_low,DOT/USDT_close,DOT/USDT_volume,LINK/USDT_open,LINK/USDT_high,LINK/USDT_low,LINK/USDT_close,LINK/USDT_volume,LTC/USDT_open,LTC/USDT_high,LTC/USDT_low,LTC/USDT_close,LTC/USDT_volume,XTZ/USDT_open,XTZ/USDT_high,XTZ/USDT_low,XTZ/USDT_close,XTZ/USDT_volume
1177,2022-09-17,0.474619,0.487701,0.472468,0.4858,31936500.85,16.59213,16.95869,16.05372,16.4068,356271.04,6.903,7.159,6.902,7.055,282863.3,7.6595,8.1402,7.6501,8.0993,99612.91,55.95,58.41,55.81,57.82,52918.3693,1.52023,1.56624,1.52023,1.55114,62055.66
1178,2022-09-18,0.4858,0.489998,0.440029,0.447607,77805280.69,16.4068,16.40823,14.56787,14.70844,474047.69,7.055,7.068,6.312,6.443,665033.77,8.0993,8.13,7.408,7.5179,194240.21,57.82,57.85,52.18,52.63,214229.7428,1.55114,1.57028,1.4258,1.43773,174763.82
1179,2022-09-19,0.447607,0.456674,0.433303,0.452695,81193741.68,14.70844,16.06665,14.61954,15.61138,885934.18,6.443,6.558,6.093,6.382,1127712.86,7.5179,7.6778,7.0063,7.303,242688.75,52.63,53.77,48.47,52.91,300035.681,1.43773,1.50651,1.40971,1.48232,222441.42
1180,2022-09-20,0.452695,0.454504,0.437544,0.442084,52617941.95,15.61138,15.89099,13.8176,13.91683,447904.33,6.382,6.427,6.173,6.283,660774.52,7.303,7.3344,6.817,6.8829,160997.28,52.91,53.9,50.86,52.31,381949.127,1.48232,1.52334,1.45384,1.46316,187693.29
1181,2022-09-21,0.442084,0.464341,0.431376,0.438826,214891467.09,13.91683,15.07975,12.95278,13.34895,942571.69,6.283,6.581,5.97,6.122,822063.79,6.8829,7.3086,6.5211,6.6808,336265.39,52.31,55.52,50.26,51.08,699361.5909,1.46316,1.52251,1.38619,1.40782,486538.53
1182,2022-09-22,0.438826,0.466482,0.434469,0.458256,63626385.11,13.34895,14.99407,13.26695,14.64209,872954.03,6.122,6.518,6.082,6.447,630791.74,6.6808,7.1719,6.6369,7.1206,151462.72,51.08,54.11,50.61,53.56,207018.3971,1.40782,1.52487,1.40732,1.50766,222764.37
1183,2022-09-23,0.458256,0.482586,0.446192,0.461845,127487802.24,14.64209,15.28446,13.4361,14.22307,1007068.35,6.447,6.634,6.189,6.435,1856728.0,7.1206,7.4939,6.9677,7.4564,378861.55,53.56,55.35,51.41,55.21,558217.8353,1.50766,1.55089,1.42879,1.51573,262769.12
1184,2022-09-24,0.461845,0.468556,0.450372,0.451043,46181837.66,14.22307,14.29076,13.55474,13.62982,409641.8,6.435,6.506,6.235,6.275,833135.92,7.4564,7.8651,7.3751,7.6247,205842.43,55.21,55.95,53.21,53.44,314740.6635,1.51573,1.55561,1.46777,1.47538,168983.42
1185,2022-09-25,0.451043,0.462396,0.438535,0.446389,46924164.26,13.62982,14.83338,13.58603,13.96534,520803.79,6.275,6.373,6.095,6.209,803864.94,7.6247,8.0713,7.5724,7.8754,299011.31,53.44,54.42,52.22,52.54,268343.777,1.47538,1.50755,1.43885,1.45715,142983.72
1186,2022-09-26,0.446389,0.450505,0.436611,0.447272,58080851.99,13.96534,14.89058,13.75596,13.91297,751355.5,6.209,6.581,6.153,6.556,2698597.93,7.8754,7.9549,7.4675,7.9461,318986.09,52.54,53.73,51.87,53.44,351203.4189,1.45715,1.4773,1.42374,1.47424,190869.56
1187,2022-09-27,0.447272,0.463247,0.437355,0.441186,55594550.16,13.91297,14.74408,13.17076,13.51217,549631.55,6.556,6.798,6.244,6.368,1821428.49,7.9461,8.3995,7.6601,8.0534,387557.41,53.44,55.55,51.81,52.65,417374.9518,1.47424,1.54149,1.42272,1.44186,339643.18
1188,2022-09-28,0.441186,0.443072,0.425339,0.436085,81498634.39,13.51217,13.58353,12.6298,12.99634,550730.08,6.368,6.477,6.175,6.388,3942125.47,8.0534,8.5343,7.7372,7.7974,866297.45,52.65,53.84,51.03,53.29,498352.9562,1.44186,1.45501,1.3896,1.44107,585867.18
1189,2022-09-29,0.436085,0.439244,0.427871,0.438057,51842044.31,12.99634,13.08708,12.43088,12.77337,433850.32,6.388,6.488,6.26,6.432,2282234.58,7.7974,7.9413,7.5834,7.9043,311139.77,53.29,54.17,52.25,53.95,431057.0635,1.44107,1.44846,1.40677,1.43877,278511.56
1190,2022-09-30,0.438057,0.441348,0.42948,0.434727,49069074.4,12.77337,13.24439,12.61088,13.0238,428972.6,6.432,6.569,6.213,6.32,2019569.67,7.9043,7.9168,7.5109,7.5847,180858.76,53.95,55.13,52.87,53.48,238471.7261,1.43877,1.46286,1.40854,1.4227,574339.03
