,timestamp,DOT/USDT_open,DOT/USDT_high,DOT/USDT_low,DOT/USDT_close,DOT/USDT_volume,XTZ/USDT_open,XTZ/USDT_high,XTZ/USDT_low,XTZ/USDT_close,XTZ/USDT_volume
1271,2024-02-14,7.353,7.709,7.275,7.65,253852.56,1.043,1.069,1.025,1.065,56871.87
1272,2024-02-15,7.65,7.95,7.527,7.781,197418.07,1.065,1.098,1.054,1.074,67077.23
1273,2024-02-16,7.781,7.863,7.54,7.647,136931.98,1.074,1.092,1.037,1.08,55312.81
1274,2024-02-17,7.647,7.707,7.344,7.705,147000.44,1.08,1.084,1.027,1.06,101961.93
1275,2024-02-18,7.705,7.92,7.68,7.858,170510.27,1.06,1.08,1.055,1.072,59887.21
1276,2024-02-19,7.858,8.146,7.656,8.022,337612.26,1.072,1.098,1.065,1.089,71971.2
1277,2024-02-20,8.022,8.116,7.42,7.731,207260.19,1.089,1.137,1.053,1.109,110763.85
1278,2024-02-21,7.731,7.731,7.23,7.469,165201.45,1.109,1.113,1.045,1.087,52900.17
1279,2024-02-22,7.469,7.681,7.278,7.481,227300.08,1.087,1.142,1.059,1.109,141281.73
1280,2024-02-23,7.481,7.641,7.275,7.561,125704.71,1.109,1.117,1.064,1.088,58448.07
1281,2024-02-24,7.561,7.889,7.434,7.822,267269.24,1.088,1.13,1.051,1.127,133983.86
1282,2024-02-25,7.822,7.94,7.678,7.919,127132.59,1.127,1.133,1.103,1.117,80428.29
1283,2024-02-26,7.919,8.115,7.583,8.108,276546.79,1.117,1.149,1.084,1.143,53594.87
1284,2024-02-27,8.108,8.447,7.999,8.371,392162.85,1.143,1.162,1.112,1.14,180309.45
1285,2024-02-28,8.371,8.713,7.7,8.342,528422.86,1.14,1.22,1.124,1.2,102542.31
1286,2024-02-29,8.342,8.897,8.03,8.254,508839.19,1.2,1.369,1.191,1.237,138741.78
1287,2024-03-01,8.254,8.673,8.254,8.661,368118.17,1.237,1.284,1.221,1.284,78543.04
1288,2024-03-02,8.661,9.463,8.58,9.463,585241.12,1.284,1.433,1.25,1.424,149027.63
1289,2024-03-03,9.463,9.898,8.59,9.777,478019.18,1.424,1.424,1.294,1.373,117711.3
1290,2024-03-04,9.777,10.303,9.51,9.849,494799.94,1.373,1.485,1.354,1.418,140612.14
1291,2024-03-05,9.849,10.759,8.152,9.327,653581.71,1.418,1.502,1.187,1.305,190283.6
1292,2024-03-06,9.327,10.555,8.929,10.545,352820.87,1.305,1.4,1.261,1.4,125511.99
1293,2024-03-07,10.545,10.998,10.239,10.404,249568.51,1.4,1.523,1.394,1.479,157707.67
1294,2024-03-08,10.404,10.69,9.965,10.637,590365.82,1.479,1.494,1.36,1.438,85866.66
1295,2024-03-09,10.637,10.95,10.417,10.493,229471.97,1.438,1.458,1.42,1.439,97842.95
1296,2024-03-10,10.493,10.571,9.965,10.264,172235.58,1.439,1.46,1.381,1.422,130753.37
1297,2024-03-11,10.264,11.241,9.81,11.039,313834.35,1.422,1.534,1.349,1.526,261822.31
1298,2024-03-12,11.039,11.147,10.08,10.735,252117.68,1.526,1.579,1.416,1.558,154308.53
1299,2024-03-13,10.735,11.39,10.641,11.39,371871.08,1.558,1.595,1.478,1.538,153056.22
1300,2024-03-14,11.39,11.881,10.68,11.561,711196.46,1.538,1.542,1.409,1.49,152357.31
1301,2024-03-15,11.561,11.7,9.984,10.799,713176.8,1.49,1.504,1.29,1.396,210801.73
1302,2024-03-16,10.799,10.897,9.51,9.687,451685.85,1.396,1.431,1.264,1.291,63492.96
1303,2024-03-17,9.687,10.247,9.195,10.082,293877.57,1.291,1.357,1.232,1.341,94124.02
1304,2024-03-18,10.082,10.454,9.607,9.901,256799.82,1.341,1.36,1.249,1.27,159093.52
